shipment_id,carrier,weather,shipment_value,warehouse_load_pct,traffic_density,planned_arrival,current_delay_minutes,is_delayed,event_type,last_checkpoint,distance_to_go_km,shipment_priority
jD-54349971,Delhivery,Fog,13625,36,0.35,2026-02-17 11:12:59,7,0,Routine,Stevensstad Hub,196,Low
qj-27383581,Swift,Heavy Rain,1727,97,0.85,2026-02-16 23:59:35,7,0,Routine,Michaelville Hub,303,High
Or-61635207,Swift,Clear,2446,77,0.92,2026-02-27 05:12:02,12,0,Routine,Millerberg Hub,286,High
cT-81937956,Swift,Clear,11512,99,0.61,2026-02-20 16:12:31,8,0,Routine,Martinezland Hub,447,Low
Pw-76709401,BlueDart,Fog,4084,85,0.24,2026-03-01 18:35:06,0,0,Routine,Williamview Hub,212,High
FO-28082474,BlueDart,Clear,1615,75,0.99,2026-03-06 02:41:37,0,0,Routine,West Claytonton Hub,300,Low
FF-45154536,Swift,Clear,2983,34,0.74,2026-03-09 05:48:48,6,0,Routine,Lisachester Hub,426,Medium
cr-40260171,Swift,Clear,6392,61,0.97,2026-03-03 17:57:03,66,1,Operational Bottleneck,Zacharyview Hub,142,High
qL-05766188,BlueDart,Heavy Rain,9071,69,0.8,2026-02-08 10:53:48,14,0,Routine,West Christopher Hub,91,High
LY-04957690,Swift,Fog,5180,52,0.49,2026-03-06 09:43:48,2,0,Routine,South Alyssa Hub,243,Medium
yV-28807979,BlueDart,Clear,11330,83,0.3,2026-02-28 20:03:35,0,0,Routine,South Ryanfort Hub,460,Low
Fx-20886075,BlueDart,Fog,4523,39,0.31,2026-02-28 03:52:14,5,0,Routine,North Jackmouth Hub,282,High
aH-76963021,BlueDart,Heavy Rain,14784,90,0.21,2026-02-15 18:16:28,144,1,Operational Bottleneck,Crystalshire Hub,104,Low
jk-80124326,BlueDart,Heavy Rain,4940,48,0.77,2026-02-22 18:14:24,5,0,Routine,Wilsonton Hub,492,Low
it-62193208,Delhivery,Clear,8419,42,0.71,2026-02-11 09:28:36,7,0,Routine,South Melinda Hub,195,Medium
Iq-87558554,BlueDart,Clear,9685,38,0.44,2026-02-13 14:47:07,14,0,Routine,East Jessica Hub,269,High
Ui-75569375,BlueDart,Heavy Rain,8281,58,0.24,2026-03-04 13:43:11,64,1,Operational Bottleneck,East Andrewland Hub,173,Low
iP-19732401,BlueDart,Clear,2801,48,0.54,2026-02-25 22:47:17,10,0,Routine,East Jacobfurt Hub,212,High
QC-42928408,Swift,Clear,2681,88,0.15,2026-02-20 20:26:23,6,0,Routine,New Paul Hub,35,Low
GY-11885697,Swift,Clear,14146,93,0.58,2026-02-26 21:17:32,15,0,Routine,South Thomas Hub,449,High
GU-84001532,Swift,Clear,8536,76,0.28,2026-02-15 13:32:17,15,0,Routine,Scotthaven Hub,266,High
Mw-63199828,Delhivery,Clear,4909,45,0.61,2026-03-01 21:58:18,13,0,Routine,Ashleyborough Hub,46,Low
HU-93218634,Swift,Clear,12812,73,0.77,2026-03-04 12:47:35,13,0,Routine,East Ericaberg Hub,112,Medium
PV-13243720,Swift,Clear,5428,70,0.22,2026-02-18 06:32:27,129,1,Operational Bottleneck,Tranview Hub,365,Medium
WI-85969757,Delhivery,Clear,11215,39,0.87,2026-02-28 03:38:03,14,0,Routine,Maynardfurt Hub,362,Low
fy-25283737,Delhivery,Clear,12508,86,0.69,2026-03-06 05:39:12,97,1,Operational Bottleneck,North Sherry Hub,484,High
El-68775478,Delhivery,Heavy Rain,9832,35,0.3,2026-03-02 08:31:29,7,0,Routine,East Amanda Hub,428,Low
Fl-26387435,Delhivery,Fog,1260,89,0.85,2026-03-05 20:39:38,6,0,Routine,Heatherhaven Hub,282,Low
CT-87888134,Swift,Clear,6672,87,0.15,2026-02-17 08:08:54,116,1,Operational Bottleneck,Juanbury Hub,190,Medium
yF-17797102,Swift,Heavy Rain,6459,84,0.75,2026-03-06 09:44:46,15,0,Routine,Peterchester Hub,322,Medium
Yg-10611107,BlueDart,Heavy Rain,3857,74,0.69,2026-02-14 10:43:17,6,0,Routine,New Kevin Hub,114,High
Ed-56827063,BlueDart,Heavy Rain,9894,93,0.24,2026-02-18 19:09:41,68,1,Operational Bottleneck,Barrettborough Hub,133,Medium
qz-83781145,Swift,Cyclone,4396,49,0.72,2026-02-10 23:22:04,653,1,Natural Disaster,Wendystad Hub,14,Low
QZ-01466913,Swift,Clear,10926,44,0.35,2026-02-21 00:53:31,9,0,Routine,East Prestontown Hub,129,Low
Ev-82957404,BlueDart,Clear,6124,100,0.19,2026-03-06 00:00:04,1,0,Routine,Laurenfort Hub,115,Low
rG-96394649,Swift,Clear,941,59,0.32,2026-03-01 23:42:52,7,0,Routine,Michaelborough Hub,319,Medium
Za-28744025,Delhivery,Heavy Rain,12172,63,0.77,2026-02-22 12:04:29,47,1,Operational Bottleneck,North Gregland Hub,278,High
zH-51966296,BlueDart,Clear,7792,92,0.13,2026-02-08 16:13:13,118,1,Operational Bottleneck,Dustinfurt Hub,489,Low
td-46393442,Swift,Fog,12197,39,0.53,2026-02-10 06:39:35,15,0,Routine,Erinview Hub,204,Low
ms-94739787,Swift,Clear,7295,84,0.38,2026-02-27 12:50:30,122,1,Operational Bottleneck,Kathleenshire Hub,163,Low
CM-76695449,BlueDart,Clear,6148,54,0.13,2026-02-21 22:09:13,15,0,Routine,Johnstad Hub,124,High
aj-94524246,Delhivery,Heavy Rain,9666,55,0.2,2026-02-16 10:55:55,96,1,Operational Bottleneck,Crystalside Hub,336,Low
sy-40470818,Swift,Fog,10745,43,0.73,2026-02-19 10:40:56,8,0,Routine,East Jennifershire Hub,231,High
Ml-46065931,Swift,Heavy Rain,2733,32,0.32,2026-02-15 07:02:02,6,0,Routine,West Nicole Hub,159,Medium
en-56606365,Delhivery,Clear,8587,57,0.57,2026-02-08 07:08:16,1,0,Routine,Port Josephstad Hub,470,High
oN-72750947,Delhivery,Clear,7880,41,0.25,2026-03-07 01:49:51,2,0,Routine,New Bryan Hub,404,Low
gz-58672566,Swift,Fog,7118,81,0.47,2026-03-02 10:23:34,10,0,Routine,Vincentfurt Hub,414,High
Oa-50991090,Swift,Clear,10656,62,0.31,2026-02-20 05:49:31,12,0,Routine,Pottermouth Hub,431,Medium
dt-91872894,Swift,Heavy Rain,10538,65,0.9,2026-03-01 15:54:32,0,0,Routine,Dixonbury Hub,95,Medium
mo-99782871,Delhivery,Clear,1244,93,0.26,2026-03-08 15:48:49,70,1,Operational Bottleneck,Simpsonhaven Hub,291,High
gJ-46256620,Swift,Clear,11900,80,0.48,2026-02-25 19:47:20,8,0,Routine,Markfort Hub,494,Low
fX-92191070,Delhivery,Clear,8063,56,0.78,2026-02-24 02:38:55,7,0,Routine,West Ronald Hub,330,Low
yv-07115319,BlueDart,Clear,2831,63,0.61,2026-02-16 07:37:41,9,0,Routine,South Christopher Hub,212,Medium
pd-21664296,Delhivery,Clear,3301,38,0.45,2026-02-15 01:25:26,9,0,Routine,Lake Jerryberg Hub,250,Low
tz-59130998,Delhivery,Cyclone,14303,30,0.76,2026-02-13 02:36:25,526,1,Natural Disaster,Valenzuelaview Hub,42,High
hV-22272277,Swift,Clear,4222,47,0.45,2026-02-18 18:28:06,15,0,Routine,Tinamouth Hub,228,High
om-68428484,BlueDart,Clear,10933,56,0.59,2026-02-07 20:22:35,13,0,Routine,New Omar Hub,174,Low
hI-01714848,Swift,Heavy Rain,5095,80,0.59,2026-02-21 02:20:21,13,0,Routine,East Barbara Hub,154,Medium
sj-12252028,BlueDart,Heavy Rain,6753,92,0.8,2026-02-28 10:13:44,5,0,Routine,Morrisview Hub,284,High
sF-57412474,BlueDart,Cyclone,12167,86,0.5,2026-02-09 20:18:11,532,1,Natural Disaster,Jacquelinetown Hub,332,Medium
CR-42222335,BlueDart,Cyclone,8501,90,0.96,2026-02-22 18:36:07,444,1,Natural Disaster,Martinberg Hub,154,Medium
Pz-00609667,Delhivery,Fog,2768,30,0.21,2026-03-09 02:36:30,7,0,Routine,Lake Brianside Hub,100,High
al-04289350,BlueDart,Clear,6076,86,0.71,2026-02-18 17:24:36,88,1,Operational Bottleneck,Wagnerberg Hub,233,Low
oj-37774887,BlueDart,Fog,12777,70,0.81,2026-02-08 15:34:28,3,0,Routine,Corybury Hub,430,High
Mo-31420404,Swift,Fog,2754,73,0.51,2026-02-11 11:44:46,10,0,Routine,Port Kayla Hub,316,Medium
MN-06147557,Delhivery,Heavy Rain,14038,30,0.49,2026-02-20 06:00:29,11,0,Routine,Langport Hub,236,High
FZ-06855810,Swift,Fog,6705,56,0.92,2026-02-13 14:12:19,11,0,Routine,Derekport Hub,68,Medium
HJ-99285855,BlueDart,Heavy Rain,1043,78,0.9,2026-03-02 00:01:03,135,1,Operational Bottleneck,Lake Moniquestad Hub,420,High
ny-25238288,BlueDart,Fog,3472,52,0.98,2026-02-08 10:22:39,0,0,Routine,East Davidport Hub,439,High
EH-38613488,BlueDart,Fog,7175,48,0.62,2026-03-01 13:31:35,5,0,Routine,West Maryhaven Hub,20,High
Rw-01606468,BlueDart,Clear,14718,59,0.77,2026-02-09 00:10:47,1,0,Routine,South Bruce Hub,469,Medium
mK-52476614,Delhivery,Clear,7770,51,0.47,2026-02-27 11:14:55,4,0,Routine,Carolbury Hub,403,Low
oe-58177857,Delhivery,Clear,3128,50,0.87,2026-02-12 19:46:12,11,0,Routine,Buckleyfurt Hub,27,Low
ev-40196497,BlueDart,Clear,780,85,0.6,2026-03-07 17:48:18,14,0,Routine,New Daniel Hub,170,Low
Vz-64713385,BlueDart,Clear,12003,54,0.95,2026-02-19 19:55:01,8,0,Routine,North Edwardberg Hub,445,Low
PL-35178236,BlueDart,Heavy Rain,5632,54,0.7,2026-02-15 07:55:15,8,0,Routine,Phamport Hub,496,High
fo-28843139,BlueDart,Clear,7306,83,0.28,2026-02-19 05:57:32,13,0,Routine,Richardport Hub,118,High
TC-33224727,Delhivery,Clear,3166,42,0.66,2026-03-03 09:14:04,2,0,Routine,South Johntown Hub,314,Low
Jk-31512457,Delhivery,Clear,6861,59,0.5,2026-02-18 16:56:13,4,0,Routine,East Judy Hub,61,Low
gp-35839696,Delhivery,Clear,14313,79,0.15,2026-02-22 10:14:35,8,0,Routine,East Christopher Hub,190,Medium
zZ-17820065,BlueDart,Heavy Rain,4866,59,0.52,2026-03-07 11:54:00,4,0,Routine,Johnschester Hub,105,High
aL-78477402,BlueDart,Fog,7657,69,0.97,2026-02-16 13:48:36,13,0,Routine,Parksland Hub,115,Medium
dX-79867926,Delhivery,Clear,3773,79,0.57,2026-03-06 02:16:26,10,0,Routine,North Danny Hub,76,High
bA-33865142,Swift,Clear,575,73,0.92,2026-02-14 08:34:53,140,1,Operational Bottleneck,North Lori Hub,124,High
lR-18571220,BlueDart,Clear,5964,33,0.65,2026-03-09 11:50:31,112,1,Operational Bottleneck,Robertview Hub,328,Medium
XN-75988333,Delhivery,Heavy Rain,8455,72,0.66,2026-03-03 00:28:00,10,0,Routine,Port Alexanderbury Hub,428,Low
cE-03836997,Swift,Clear,6702,79,0.86,2026-02-16 10:18:22,4,0,Routine,West Joan Hub,216,Medium
tG-14588889,BlueDart,Clear,14123,71,0.89,2026-02-16 12:37:47,74,1,Operational Bottleneck,Shelbymouth Hub,117,Medium
ej-70467673,BlueDart,Heavy Rain,1635,95,0.32,2026-02-28 17:52:27,46,1,Operational Bottleneck,North Jodi Hub,331,High
Pp-53327635,BlueDart,Clear,3193,48,0.54,2026-02-09 04:27:37,10,0,Routine,Smithborough Hub,132,High
JH-36448710,Delhivery,Clear,4047,35,0.17,2026-02-11 00:35:48,3,0,Routine,South Carltown Hub,254,High
CM-33905308,Delhivery,Clear,5554,50,0.62,2026-02-09 04:09:55,4,0,Routine,Territon Hub,214,High
hf-94639966,Swift,Clear,6459,54,0.28,2026-03-05 23:31:19,1,0,Routine,Hansonmouth Hub,320,Medium
eJ-34197258,Swift,Fog,13023,65,0.42,2026-02-12 19:56:50,8,0,Routine,South Felicia Hub,150,High
KZ-58523506,Swift,Clear,10833,34,0.21,2026-02-17 10:53:05,9,0,Routine,Garciamouth Hub,163,Low
qs-98349652,Swift,Clear,10598,80,0.28,2026-02-24 09:13:17,9,0,Routine,Grayfurt Hub,444,High
oo-96005824,BlueDart,Clear,8844,82,0.35,2026-03-06 05:23:47,1,0,Routine,New Timothyside Hub,303,Low
oD-76636146,Delhivery,Clear,12223,53,0.67,2026-02-07 21:46:10,15,0,Routine,New Williamton Hub,210,Low
By-12544532,BlueDart,Cyclone,14251,89,0.71,2026-02-09 07:57:31,682,1,Natural Disaster,West Rodneytown Hub,166,High
mm-06674572,BlueDart,Clear,2906,39,0.64,2026-02-26 12:21:18,13,0,Routine,New Martinstad Hub,215,High
Fi-61704921,BlueDart,Clear,10694,33,0.17,2026-02-17 16:13:49,8,0,Routine,Fosterbury Hub,137,High
jt-21047532,Swift,Clear,11450,42,0.24,2026-03-05 09:25:20,12,0,Routine,Wheelershire Hub,232,Low
ZK-18692343,Swift,Fog,3441,84,0.78,2026-02-18 12:13:41,11,0,Routine,Hopkinsfort Hub,341,Medium
Wg-58174893,Delhivery,Clear,10270,91,0.88,2026-02-16 02:28:53,1,0,Routine,Hendersonburgh Hub,103,Medium
Zz-58811490,Swift,Clear,2033,60,0.95,2026-02-13 00:55:38,94,1,Operational Bottleneck,West Patrick Hub,268,Low
wA-46785983,Delhivery,Clear,12276,70,1.0,2026-02-26 02:39:50,58,1,Operational Bottleneck,Davidfurt Hub,298,Low
CX-71164661,BlueDart,Clear,8603,89,0.46,2026-03-03 00:18:50,9,0,Routine,Johnchester Hub,325,High
Rq-52306189,Swift,Clear,13986,38,0.84,2026-03-02 08:54:29,180,1,Operational Bottleneck,Myersstad Hub,175,Medium
RU-53572512,Delhivery,Heavy Rain,1682,96,0.11,2026-02-12 01:22:08,10,0,Routine,Conniehaven Hub,356,Medium
JR-85992901,Swift,Clear,5056,90,0.46,2026-02-17 14:57:04,6,0,Routine,Russellshire Hub,322,Medium
Hr-27700274,Delhivery,Fog,13886,52,1.0,2026-03-02 05:54:22,4,0,Routine,Port Heather Hub,248,High
WG-22726147,Swift,Cyclone,4165,42,0.22,2026-02-15 13:53:39,676,1,Natural Disaster,Carterstad Hub,117,Medium
Rg-16441907,BlueDart,Clear,4654,35,0.92,2026-03-07 03:33:26,13,0,Routine,Port Adam Hub,73,Medium
oB-80236298,BlueDart,Heavy Rain,9493,35,0.71,2026-02-19 06:27:26,14,0,Routine,New Shelbyview Hub,272,Medium
TV-81538830,Swift,Heavy Rain,7598,57,0.84,2026-02-17 10:09:18,14,0,Routine,Herreraberg Hub,439,Low
XY-78652237,Swift,Heavy Rain,1637,93,0.35,2026-02-11 07:40:22,12,0,Routine,Port Kaitlyn Hub,250,Low
RA-90718737,Swift,Heavy Rain,4355,96,0.8,2026-03-05 04:43:00,14,0,Routine,Karenstad Hub,167,Medium
tP-85469613,Delhivery,Heavy Rain,2514,78,0.27,2026-02-25 03:12:18,1,0,Routine,Taylorshire Hub,354,High
bq-21057662,BlueDart,Heavy Rain,12260,84,0.33,2026-03-05 01:52:29,154,1,Operational Bottleneck,Vincenthaven Hub,319,Medium
hW-03101460,BlueDart,Clear,9329,96,0.68,2026-02-17 06:56:52,82,1,Operational Bottleneck,South Laceymouth Hub,308,Medium
Dl-59139740,Swift,Clear,8217,54,0.44,2026-02-18 23:47:59,2,0,Routine,Patrickfurt Hub,124,Medium
Oz-43789804,BlueDart,Clear,2715,57,0.37,2026-02-18 00:29:57,6,0,Routine,South Kylestad Hub,131,Medium
VH-86907681,BlueDart,Clear,13568,39,0.43,2026-03-04 10:43:45,3,0,Routine,Macdonaldmouth Hub,267,High
Pi-56493389,Delhivery,Clear,2314,51,0.44,2026-02-13 21:56:02,123,1,Operational Bottleneck,Guzmanshire Hub,76,Medium
gw-86122158,Delhivery,Fog,12430,38,0.82,2026-03-07 19:42:54,0,0,Routine,Allenhaven Hub,264,High
jv-96397956,BlueDart,Fog,6091,98,0.37,2026-02-19 07:56:06,2,0,Routine,West Christina Hub,178,Medium
bA-75282231,Swift,Clear,7107,39,0.21,2026-02-22 06:41:52,9,0,Routine,Timothyside Hub,350,Low
Lb-06837968,Swift,Clear,7158,44,0.96,2026-02-11 15:47:37,142,1,Operational Bottleneck,Lake Laura Hub,237,Medium
YX-31394953,Swift,Heavy Rain,2721,62,0.51,2026-02-14 21:52:15,12,0,Routine,North Jeffrey Hub,93,High
oN-43315346,Delhivery,Clear,13086,62,0.23,2026-02-21 15:06:36,2,0,Routine,New Natalie Hub,455,High
eU-74272743,Swift,Clear,3124,37,0.46,2026-03-05 23:28:46,9,0,Routine,South Maryside Hub,253,High
PA-31643096,Delhivery,Clear,11418,93,0.41,2026-02-14 12:40:46,15,0,Routine,New Robert Hub,334,High
yK-81528479,Swift,Clear,3206,83,0.87,2026-03-02 14:35:49,87,1,Operational Bottleneck,Johnstonport Hub,382,High
Gj-17970582,Delhivery,Fog,8236,82,1.0,2026-02-10 07:12:02,0,0,Routine,East Timothy Hub,490,High
CZ-32082981,BlueDart,Clear,9808,43,0.98,2026-02-17 11:14:56,7,0,Routine,Farmerhaven Hub,67,Medium
AZ-87735843,Delhivery,Heavy Rain,14962,58,0.72,2026-03-03 07:29:43,13,0,Routine,Port Heather Hub,496,High
fG-95686556,BlueDart,Clear,12891,88,0.31,2026-02-20 03:22:01,13,0,Routine,New Tammystad Hub,210,High
LR-22843003,Delhivery,Fog,3705,76,0.78,2026-02-11 19:27:43,14,0,Routine,South Kimberlyport Hub,66,Low
hr-74093866,Delhivery,Heavy Rain,14787,94,0.23,2026-02-26 23:34:03,134,1,Operational Bottleneck,Robertfurt Hub,47,Low
Vw-01399586,BlueDart,Heavy Rain,6640,71,0.86,2026-02-28 05:00:56,91,1,Operational Bottleneck,North Carlyview Hub,248,High
kn-48997250,Swift,Clear,3255,51,0.17,2026-02-24 17:24:38,9,0,Routine,North Joshua Hub,497,Medium
gT-64905058,BlueDart,Clear,4236,48,0.29,2026-02-15 20:07:10,10,0,Routine,North Edward Hub,380,Medium
bE-51049005,Delhivery,Clear,9144,36,0.98,2026-03-08 02:30:22,4,0,Routine,Lestermouth Hub,341,Medium
IN-75415908,Delhivery,Fog,7986,47,0.96,2026-02-07 05:44:58,14,0,Routine,Port Lisa Hub,268,High
Zg-14727447,Delhivery,Heavy Rain,7503,57,0.89,2026-02-09 07:51:51,8,0,Routine,Haleychester Hub,189,Medium
Zo-49129263,Delhivery,Clear,7162,33,0.89,2026-03-07 04:53:06,149,1,Operational Bottleneck,Sullivanshire Hub,445,Low
qn-97053700,Delhivery,Fog,9960,49,0.76,2026-03-08 23:49:07,9,0,Routine,East Audreyview Hub,416,Low
tr-82932890,Delhivery,Clear,9441,49,0.17,2026-02-23 07:22:02,0,0,Routine,North Sarah Hub,124,High
VM-95201510,Delhivery,Heavy Rain,9027,83,0.91,2026-02-18 22:18:17,12,0,Routine,New Debra Hub,137,Medium
lO-28225496,BlueDart,Heavy Rain,6702,30,0.98,2026-02-23 22:29:17,88,1,Operational Bottleneck,Marcland Hub,397,Low
fv-07384472,BlueDart,Clear,8514,93,0.96,2026-02-09 17:31:44,9,0,Routine,Hendersonborough Hub,10,High
zG-08404701,Delhivery,Cyclone,14152,83,0.63,2026-02-25 01:28:59,316,1,Natural Disaster,North Phillip Hub,366,High
Mu-54217217,Delhivery,Heavy Rain,12015,31,0.35,2026-02-25 03:44:00,4,0,Routine,Raymondshire Hub,438,Low
qV-30643329,BlueDart,Heavy Rain,6230,84,0.15,2026-02-19 01:13:16,54,1,Operational Bottleneck,Dwaynefurt Hub,260,Medium
nD-94506882,Delhivery,Clear,8838,79,0.83,2026-02-10 10:22:23,9,0,Routine,South Earl Hub,312,Medium
iZ-14059362,Swift,Heavy Rain,3144,97,0.59,2026-02-14 06:08:00,52,1,Operational Bottleneck,South Michael Hub,52,High
gY-03877027,Delhivery,Clear,3713,56,0.97,2026-02-10 19:27:16,14,0,Routine,New Davidfurt Hub,477,High
td-82167201,BlueDart,Clear,1198,55,0.54,2026-02-11 11:33:49,1,0,Routine,South Nicholasside Hub,491,High
Iv-54378190,Delhivery,Clear,10734,84,0.66,2026-02-26 17:27:25,12,0,Routine,Seanview Hub,232,Medium
th-12513255,Delhivery,Fog,6665,46,0.51,2026-02-21 15:02:09,15,0,Routine,Juanburgh Hub,367,Low
UT-14300306,BlueDart,Heavy Rain,3501,84,0.76,2026-02-08 13:52:33,129,1,Operational Bottleneck,Jenkinsmouth Hub,184,High
tV-91774848,Delhivery,Clear,13181,85,0.96,2026-02-10 02:38:19,11,0,Routine,Port Laura Hub,488,High
Zs-84573213,Delhivery,Fog,9545,36,0.99,2026-03-05 20:10:11,13,0,Routine,Lake Dianeburgh Hub,131,Medium
ms-35388223,Swift,Clear,7434,88,0.29,2026-03-01 17:55:16,74,1,Operational Bottleneck,Christineton Hub,169,Low
OJ-12886159,BlueDart,Clear,11817,64,0.83,2026-02-13 07:37:42,10,0,Routine,Lake Alexis Hub,305,High
ul-65438082,BlueDart,Fog,13746,39,0.57,2026-03-02 02:39:05,12,0,Routine,New Rachel Hub,424,Medium
Ua-92552235,Delhivery,Heavy Rain,10534,89,0.77,2026-03-05 17:27:26,8,0,Routine,East Laurenside Hub,352,Low
iy-94108160,Delhivery,Fog,13807,64,0.82,2026-02-27 10:58:13,9,0,Routine,West Michelle Hub,42,Medium
xf-36192203,Swift,Clear,3724,55,0.65,2026-02-22 00:39:31,15,0,Routine,North Kirsten Hub,401,Medium
